Expense,Cost,Date of Transaction,Segment of Pipeline,Text,Type
Hiyori Hotel(Osaka pt1),"¥23,222",,Osaka,,Card/Payed before trip
NPL Baseball Chiba Baseball,"¥5,000","July 15, 2026",Tokyo,"technically purchased before trip, zozo marine stadium",Cash
Rapit alpha train,"¥3,120","July 17, 2026",Osaka,,Cash
Ito En,¥170,"July 17, 2026",Osaka,,Cash
Mafuyu,"¥2,600","July 17, 2026",Osaka,,Cash
Oozora Subaru,"¥2,400","July 17, 2026",Osaka,"stop gambling ",Cash
Fami 1,¥989,"July 17, 2026",Osaka,,Cash
Ito En,¥165,"July 18, 2026",Osaka,,Cash
"Kofun Tickets ",¥200,"July 18, 2026",Osaka,,Cash
Shimano Museum Tickets,¥400,"July 18, 2026",Osaka,,Card
,,,,,
Combini Towel,¥636,"July 18, 2026",Osaka,,Cash
Citizen Speedmaster,"¥34,650","July 18, 2026",Osaka,,Cash
Lawson,¥401,"July 18, 2026",Osaka,,Cash
Kaarage,"¥2,000","July 19, 2026",Osaka,,Cash
Straight Tea + UCC Black,¥200,"July 19, 2026",Osaka,,Cash
Pharmacy Run Tax,"¥3,525","July 19, 2026",Osaka,,Cash
Conan stuff,"¥3,080","July 19, 2026",Osaka,,Cash
Fami Tea,¥118,"July 19, 2026",Osaka,,Cash
Pharmacy Taxless,"¥6,673","July 19, 2026",Osaka,Hair products among other things,Cash
Getting 100 Yen,¥100,"July 19, 2026",Osaka,,Cash